Cikkszám,Termék Név,Státusz,Nettó Ár,Bruttó Ár,Kategória,Rövid Leírás,Hosszú leírás,Kép link,Egység,Tömeg,Paraméter: Lemez állapota||text,Paraméter: Borító állapota||text,Paraméter: Label||text
Dont-Suppose-EMS-91080,Limahl / Don't Suppose EMS-91080,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1984<br /><br />0129",Yes there is OBI and insert! No poster!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),EMI
The-Wanderer-P-10945W,Donna Summer / The Wanderer P-10945W,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1980<br /><br />0129",OBI van! Insert és az eredeti belső tasak is megvan!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Geffen Records
Best-Collection-MV-9081,Oscar Peterson / Best Collection MV 9081/2,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1980<br /><br />0129",OBI megvan.,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Verve Records
Tristeza-On-Piano-YS-2416-MP,The Oscar Peterson Trio / Tristeza On Piano YS-2416-MP,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1971<br /><br />0129",OBI megvan.,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MPS Records
Action-ULS-1697-P,Oscar Peterson / Action ULS 1697 P,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1975<br /><br />0129",Obi nincs! Az insert megvan!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MPS Records
Lawyers-In-Love-P-11391,Jackson Browne / Lawyers In Love P-11391,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1983<br /><br />0129",OBI van! Insert és az eredeti belső tasak is megvan!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Asylum Records
Billys-Barbeque-Arabesque-V-VIP-28024,"Arabesque, Arabesque / Billy's Barbeque (Arabesque V) = ビリーズ・バーベキュー アラベスク VIP-28024",1,11904.3,11904.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1981<br /><br />0129",OBI van! Insert van!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Victor
Big-Apple-EMS-27009,Kajagoogoo / Big Apple EMS-27009,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1983<br /><br />0129",OBI van! Insert van!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),EMI
Golden-Prize-GP64,Shirley Bassey / Golden Prize GP64,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1972<br /><br />0129",Obi nincs! Az insert megvan!,NaN,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),"United Artists Records, United Artists Records"
Grand-Canyon-Suite-RCL-8306,"Tomita, The Plasma Symphony Orchestra / Grand Canyon Suite = 大峡谷 RCL-8306",1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1982<br /><br />0129",OBI van! Insert van!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),RCA Red Seal
Irgendwo-Irgendwann-Special-12-Dance-Mix-123P-583,"Nena / Irgendwie - Irgendwo - Irgendwann (Special 12"" Dance-Mix) 12・3P-583",1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1985<br /><br />0129",OBI van!,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Epic International
-Fragezeichen-283P-544,Nena / ? (Fragezeichen) 28·3P-544,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1984<br /><br />0129",OBI van! Insert van!,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Epic International
