Cikkszám,Termék Név,Státusz,Nettó Ár,Bruttó Ár,Kategória,Rövid Leírás,Hosszú leírás,Kép link,Egység,Tömeg,Paraméter: Lemez állapota||text,Paraméter: Borító állapota||text,Paraméter: Label||text
Seleccion-SLPX-15079,Victor Jara / Seleccion SLPX 15079,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Latin","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1982<br /><br />0129",,NaN,db,0.2,Very Good (VG),Near Mint (NM or M-),Hungaroton
Affenstunde-IC-58-159,Popol Vuh / Affenstunde IC 58 159,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 1980<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Innovative Communication
Love-Cry-AS-9165,Albert Ayler / Love Cry AS-9165,1,35712.9,35712.9,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1968<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),"Impulse!, ABC Records"
Las-Reglas-Del-Juego-SL-21503,P.V.P. (2) / Las Reglas Del Juego SL-21503,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Spain, 1984<br /><br />0129",Az  eredeti belső tok is nagyon jó állapotban van!,NaN,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),21 Records (3)
Illes-1965-1969-Legendas-Kislemezek-SLPX-17757,Illés / Illés 1965-1969. Legendás Kislemezek SLPX 17757,1,1984.05,1984.05,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1983<br /><br />0129",Insert megvan!,NaN,db,0.2,Very Good (VG),Near Mint (NM or M-),Krém
Szikrazo-Lanyok-Bacso-Peter-Szines-Filmje,Various / Szikrázó Lányok  - Bacsó Péter Színes Filmje / Pop Zene - Pop Mozi SLPX 17469,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1972<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),Pepita
z-Ordog-Alarcosbalja-Devils-Masquerade-SLPX-17439,Syrius / Az Ördög Álarcosbálja = Devil's Masquerade SLPX 17439,1,51585.3,51585.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1972<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Pepita, Pepita"
Bolond-Varos-LPX-17422,Neoton Família / Bolond Város LPX 17422,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1970<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Pepita, Pepita, Qualiton"
Rough-Diamonds-90001-1,Bad Company (3) / Rough Diamonds 90001-1,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1982<br /><br />0129","Az  eredeti belső tok is MEGVAN, nagyon jó állapotban!",NaN,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),Swan Song
STOP-C12Y0291,Samantha Gilles / S.T.O.P. C12Y0291,1,11904.3,11904.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1988<br /><br />0129",Yes OBI! Yes Insert!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Canyon International
Ill-Never-Fall-In-Love-Again-ALI-12005,Pamela Nightingale / I'll Never Fall In Love Again ALI-12005,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1985<br /><br />0129",Yes OBI! Yes Insert!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Alfa International
My-House-EP-74321-585261,DJ Junior / My House E.P. 74321 585261,1,79362.0,79362.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1998<br /><br />0129",,NaN,db,0.2,Very Good (VG),Very Good Plus (VG+),BMG Ariola Hungary
Serious-HitsLive-PL-MMC-9013,Phil Collins / Serious Hits...Live! PL MMC 9013,1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Pop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1990<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MMC Records (2)
Something-In-My-Heart-220337,Supermax / Something In My Heart 220337,1,5158.53,5158.53,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Yugoslavia, 1988<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),PGP RTB
Joe-Cocker-Live-SLPXL-37448-49,Joe Cocker / Joe Cocker Live SLPXL 37448-49,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1990<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Capitol Records
The-Rhythm-Of-The-Saints-SLPXL-37482,Paul Simon / The Rhythm Of The Saints SLPXL 37482,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1990<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Gong
3rd-Degree-8-56-327,Johnny Winter / 3rd Degree 8 56 327,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in German Democratic Republic (GDR), 1988<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),AMIGA
Behind-The-Mask-SLPXL-37438,Fleetwood Mac / Behind The Mask SLPXL 37438,1,7539.39,7539.39,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1990<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Gong
Electric-Rendezvous-SLPXL-17985,Al Di Meola / Electric Rendezvous SLPXL 17985,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1986<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Gong
Tirami-Su-7-46995-1,Al Di Meola Project / Tirami Su 7 46995 1,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 1987<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),EMI-Manhattan Records
Communique-SLPXL-37581,Dire Straits / Communiqué SLPXL 37581,1,11904.3,11904.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1992<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Gong
Satchmos-Golden-Favorites-AN-68-11,Louis Armstrong / Satchmo's Golden Favorites AN 68-11,1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Israel, 0<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),Arton Records
Pres-And-Teddy-CLP-1302,"Lester Young, Teddy Wilson / Pres And Teddy CLP 1302",1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in UK, 1958<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),His Master's Voice
This-Is-My-Story-SLP-6037,Dinah Washington / This Is My Story SLP 6.037,1,23808.6,23808.6,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Brazil, 0<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),"Mercury, Mercury"
Meet-Quincy-Jones-FPX-188,Les Double Six / Meet Quincy Jones FPX 188,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in France, 1960<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),Columbia
Big-Thing-SLPXL-37230,Duran Duran / Big Thing SLPXL 37230,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1988<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Gong
Bitter-Sweet-LSP-4677,The Main Ingredient / Bitter Sweet LSP-4677,1,11904.3,11904.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Funk / Soul","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1972<br /><br />0129",,NaN,db,0.2,Very Good (VG),Near Mint (NM or M-),RCA Records
Santa-Maria-021444,Neoton Família / Santa Maria 02.1444/9,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Spain, 1979<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Movieplay
Neoton-Disco-83913,Neoton Família / Neoton Disco 83913,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 1979<br /><br />0129",Az  eredeti belső tok is nagyon jó állapotban van!,NaN,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),"CBS, CBS, CBS"
Edenkert,Fábián Éva / Édenkert / Fogom A Kezed SPS 70629,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Pop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1984<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Favorit
Neoton-171590,Neoton Família / Neoton 17.1590/9,1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Spain, 1980<br /><br />0129",A két insert megvan tökéletes állapotban!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Movieplay
Me-And-My-Girl-SLPM-16775,József Attila Színház / Me And My Girl SLPM 16775,1,2777.67,2777.67,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Stage & Screen","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1988<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Qualiton
Little-Richard-Jimi-Hendrix-SLPXL-17975,"Little Richard, Jimi Hendrix / Little Richard & Jimi Hendrix SLPXL 17975",1,3174.48,3174.48,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1986<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Gong
A-Regi-Szep-Melodiak-LP-005,Poór Péter / A Régi Szép Melódiák LP-005,1,4761.72,4761.72,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Pop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1990<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Média Kiadó
Planet-Rock-The-Album-TBLP-1007,Afrika Bambaataa & Soulsonic Force / Planet Rock - The Album TBLP 1007,1,27776.7,27776.7,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1986<br /><br />0129",Filctollal írtak a boritóra hat betűt 2 cm x6 cm es darabon. Kérésre küldök fotót a borítóról.,NaN,db,0.2,Good Plus (G+),Very Good Plus (VG+),Tommy Boy
Barcelona-SPSK-70798,"Freddie Mercury, Montserrat Caballé / Barcelona SPSK 70798",1,11904.3,11904.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1987<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),Gong
Akarom-Ot,Lord (7) / Akarom Őt / Tépett Álmok (Csakis A Lényeg) SPS 70706,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1986<br /><br />0129",,NaN,db,0.2,Very Good (VG),Near Mint (NM or M-),Start (2)
The-Best-Of-Esther-Phillips-19621970-R2-72624,Esther Phillips / The Best Of Esther Phillips (1962–1970) R2 72624,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Funk / Soul","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1997<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Rhino Records (2)
My-Ideal-The-Definitive-Collection-JASBOX-17-4,Margaret Whiting / My Ideal - The Definitive Collection JASBOX 17-4,1,1984.05,1984.05,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in UK, 2007<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),Jasmine Records
ah-Washington-On-Mercury-Vol4-1954-1956-834-683-2,Dinah Washington / The Complete Dinah Washington On Mercury Vol.4 1954-1956 834 683-2,1,11904.3,11904.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 1990<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),Mercury
Hear-Me,Neoton Família / Hear Me / Let's Go Dancing BTX 248,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Canada, 1979<br /><br />0129",,NaN,db,0.2,No Cover,Near Mint (NM or M-),Boot Records (2)
Use-Your-Illusion-II-QUI-108004,Guns N' Roses / Use Your Illusion II QUI 108004,1,39681.0,39681.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1991<br /><br />0129",Az eredeti belső tokok nincsenek meg!,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),QUINT
Use-Your-Illusion-I-QUI-108003,Guns N' Roses / Use Your Illusion I QUI 108003,1,39681.0,39681.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1991<br /><br />0129",Az  eredeti belső tokok nincsenek meg!,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),QUINT
Concertos-82876-66372-2,"Jascha Heifetz, Jean Sibelius, Sergei Prokofiev, Alexander Glazunov / Concertos 82876-66372-2",1,3174.48,3174.48,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Classical","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2005<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),"RCA Red Seal, BMG Classics"
Untold-Passion-25AP-2228,Schon & Hammer / Untold Passion 25AP 2228,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1981<br /><br />0129",Yes OBI! Yes Insert!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),CBS/Sony
Amorphism-283H-230,"Masahiko Satoh, Eddie Gomez, Steve Gadd / Amorphism 28·3H-230",1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1986<br /><br />0129",Yes OBI! Yes Insert!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),A Touch
The-Power-Of-Love-S14-113,Huey Lewis & The News / The Power Of Love S14-113,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1985<br /><br />0129",Yes OBI! Yes Insert!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Chrysalis
nferno-Original-Motion-Picture-Soundtrack-P-6354W,John Williams (4) / Irwin Allen's The Towering Inferno (Original Motion Picture Soundtrack) P-6354W,1,13888.35,13888.35,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Pop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1980<br /><br />0129",Yes OBI! Yes Insert!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Warner Bros. Records
Abandon-7243-4-95306-2-1,Deep Purple / Abandon 7243 4 95306 2 1,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 1998<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"EMI Switzerland, EMI"
The-Last-In-Line-12408,Dio (2) / The Last In Line ВТА 12408,1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Bulgaria, 1989<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Балкантон
-Antologia-III-Transdanubia-Dunantul-LPX-18138-42,Various / Anthology Of Hungarian Folk Music = Magyar Népzenei Antológia III. - Transdanubia = Dunántúl LPX 18138-42,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Non-Music","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 0<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Hungaroton
lieder-Dgg-Digital-Stereo-427-697-1-SLPDL31414-15,"Gustav Mahler, Leonard Bernstein, Wiener Philharmoniker / Symphonie No. 6, Kindertotenlieder Dgg Digital Stereo 427 697-1 SLPDL31414-15",1,128963.25,128963.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Classical","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1989<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Deutsche Grammophon
Symphonie-No-3-SLPDL-31416-17,"Gustav Mahler, New York Choral Artists, Brooklyn Boys Choir, Christa Ludwig, New York Philharmonic, Leonard Bernstein / Symphonie No. 3 SLPDL 31416-17",1,39681.0,39681.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Classical","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1989<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Hungaroton, Deutsche Grammophon"
Vajdasagi-Magyar-Nepdalok-LPX-18215,Bodor Anikó / Vajdasági Magyar Népdalok LPX 18215,1,4761.72,4761.72,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Folk, World, & Country","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1992<br /><br />0129",Insert megvan szép állapotban van!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Hungaroton, FonoFolk (2)"
Jimmy-James-Es-Egyuttese-EP-7345,Jimmy James (2) / Jimmy James És Együttese EP 7345,1,23808.6,23808.6,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Reggae","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1966<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Qualiton
scured-By-Clouds-Music-From-La-Vallee-SLPXL-37384,Pink Floyd / Obscured By Clouds (Music From La Vallée) SLPXL 37384,1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1990<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Gong, Harvest"
The-Seeds-Of-Love-SLPXL-37424,Tears For Fears / The Seeds Of Love SLPXL 37424,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1989<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Gong
The-Singles-Collection-1984,"Jimmy Somerville, Bronski Beat, The Communards / The Singles Collection 1984/1990 PL MMC 9123",1,17856.45,17856.45,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1991<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MMC Records (2)
Stronger-Than-Pride-SLPXL-37218,Sade / Stronger Than Pride SLPXL 37218,1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1988<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Gong
Vol-3-PL-MMC-9010,Traveling Wilburys / Vol. 3 PL MMC 9010,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1990<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MMC Records (2)
Nagy-Utazas-none,Dopeman (2) / Nagy Utazás none,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 2006<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Idea Produkció
Lost-Souls-QRLP117BS,Loreena McKennitt / Lost Souls  QRLP117BS,1,21824.55,21824.55,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Folk, World, & Country","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Worldwide, 2018<br /><br />0129",ÚJ fóliázott termék!!,NaN,db,0.2,Mint (M),Mint (M),"Quinlan Road, Quinlan Road, Quinlan Road"
Halalfogytiglan-HMRLP195,Omen (19) / Halálfogytiglan HMRLP195,1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 2019<br /><br />0129",,NaN,db,0.2,Mint (M),Mint (M),Hammer Records (7)
Secrets-20th-Anniversary-Collectors-Set-QRLP107BS,Loreena McKennitt / The Book Of Secrets - 20th Anniversary Collector's Set QRLP107BS,1,49601.25,49601.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Folk, World, & Country","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Worldwide, 2017<br /><br />0129",Új fóliás termék!,NaN,db,0.2,Mint (M),Mint (M),Quinlan Road
Rust-In-Peace-EST-2132,Megadeth / Rust In Peace EST 2132,1,79362.0,79362.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2008<br /><br />0129",Új fóliás termék!,NaN,db,0.2,Mint (M),Mint (M),"Capitol Records, Capitol Records, Combat, Combat"
Nights-From-The-Alhambra-QRLP110,Loreena McKennitt / Nights From The Alhambra QRLP110,1,39681.0,39681.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Folk, World, & Country","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Canada, 2014<br /><br />0129",Új fóliás termék!,NaN,db,0.2,Mint (M),Mint (M),Quinlan Road
