"Cikkszám","Termék Név","Státusz","Nettó Ár","Bruttó Ár","Kategória","Rövid Leírás","Kép link","Egység","Tömeg","Paraméter: Lemez állapota||text","Paraméter: Borító állapota||text","Paraméter: Műfaj||text","Paraméter: Label||text","Paraméter: Kiadó ország||text","Paraméter: Formátum||text","Paraméter: Megjegyzés||text","Paraméter: Polchely||text"
"Perry-Como","Perry Como / Como's Golden Hits CDS 1148","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Külföldi előadók - használt lemezek|Pop, Electronic, World, Musical, Jazz külföldi LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Printed in England <br /><br />0024","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Perry-Como.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Perry-Como_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Perry-Como_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Perry-Como_altpic_3.jpg","db","0.2","EX","EX","","","","","",""
"Reinhard-Mey-Live","Reinhard Mey Live 28 746-6","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Külföldi előadók - használt lemezek|Pop, Electronic, World, Musical, Jazz külföldi LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Printed in Germany 1971<br /><br />Dupla lemezes <br /><br />2.lemez G<br /><br />0029","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Reinhard-Mey-Live.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Reinhard-Mey-Live_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Reinhard-Mey-Live_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Reinhard-Mey-Live_altpic_3.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Reinhard-Mey-Live_altpic_4.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Reinhard-Mey-Live_altpic_5.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Reinhard-Mey-Live_altpic_6.jpg","db","0.2","VG","EX","","","","","",""
"Richard-Clayderman_","Richard Clayderman / Ballade Pour Adeline SLPXL 37134","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Külföldi előadók - használt lemezek|Pop, Electronic, World, Musical, Jazz külföldi LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary 1977<br /><br />0019","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Richard-Clayderman_.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Richard-Clayderman__altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Richard-Clayderman__altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Richard-Clayderman__altpic_3.jpg","db","0.2","VG","VG","","","","","",""
"Roberta-Kelly","Roberta Kelly / Gettin' The Spirit ATL 50 458","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Külföldi előadók - használt lemezek|Pop, Electronic, World, Musical, Jazz külföldi LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany 1978<br /><br />0015","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Roberta-Kelly.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Roberta-Kelly_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Roberta-Kelly_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Roberta-Kelly_altpic_3.jpg","db","0.2","EX","VG","","","","","",""
"Sgt-Peppers-Lonely-Hearts-Club-Band","Sgt. Pepper's Lonely Hearts Club Band SPC 3665","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Külföldi előadók - használt lemezek|Pop, Electronic, World, Musical, Jazz külföldi LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Printed in USA 1978<br /><br />0026","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Sgt-Peppers-Lonely-Hearts-Club-Band.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Sgt-Peppers-Lonely-Hearts-Club-Band_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Sgt-Peppers-Lonely-Hearts-Club-Band_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Sgt-Peppers-Lonely-Hearts-Club-Band_altpic_3.jpg","db","0.2","VG","EX","","","","","",""
"Adele-30","Adele 30 19439937971","2","9999","9999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in the EU 2021<br /><br />Dupla lemezes <br /><br />0064","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Adele-30.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Adele-30_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Adele-30_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","",""
"akos-karcolatok-jubileumi-ujrakiadas","Ákos / Karcolatok / Jubileumi újrakiadás 599863832329","2","14999","14999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Dupla lemezes <br /><br />2023<br /><br />0098","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/akos-karcolatok-jubileumi-ujrakiadas.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/akos-karcolatok-jubileumi-ujrakiadas_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/akos-karcolatok-jubileumi-ujrakiadas_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/akos-karcolatok-jubileumi-ujrakiadas_altpic_3.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","","0098"
"akos-magunk-maradtunk","Ákos / Magunk maradtunk 599863832249","2","11999","11999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />2022<br /><br />0106","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/akos-magunk-maradtunk.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/akos-magunk-maradtunk_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/akos-magunk-maradtunk_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/akos-magunk-maradtunk_altpic_3.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","","0106"
"akos-uj-torveny-jubileumi-ujrakiadas","Ákos / Új törvény / Jubileumi újrakiadás 599863832229","2","14999","14999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Dupla lemezes <br /><br />0105","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/akos-uj-torveny-jubileumi-ujrakiadas.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/akos-uj-torveny-jubileumi-ujrakiadas_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/akos-uj-torveny-jubileumi-ujrakiadas_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/akos-uj-torveny-jubileumi-ujrakiadas_altpic_3.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/akos-uj-torveny-jubileumi-ujrakiadas_altpic_4.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","","0105"
"akos-2084-jubileumi-ujrakiadas","Ákos 2084 / Jubileumi újrakiadás 599863831219","2","14999","14999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Dupla lemezes <br /><br />0097","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/akos-2084-jubileumi-ujrakiadas.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/akos-2084-jubileumi-ujrakiadas_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/akos-2084-jubileumi-ujrakiadas_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","","0097"
"attila-zoller-wolfgang-lackerschmid","Attila Zoller - Wolfgang Lackerschmid / Live Highlights '92 BHM 1071-1","2","7999","7999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in the EEC 2015<br /><br />0107","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/attila-zoller-wolfgang-lackerschmid.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/attila-zoller-wolfgang-lackerschmid_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/attila-zoller-wolfgang-lackerschmid_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","","0107"
"bakeliten-nevelkedtunk","Bakeliten nevelkedtünk CSM-142-25-1","2","9999","9999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in EU 2004<br /><br />0101","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/bakeliten-nevelkedtunk.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/bakeliten-nevelkedtunk_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/bakeliten-nevelkedtunk_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/bakeliten-nevelkedtunk_altpic_3.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","","0101"
"Berlin-Calling","Berlin Calling / The Soundtrack By Paul Kalkbrenner 4 260600 220109","2","14499","14499","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Dupla lemezes <br /><br />0065","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Berlin-Calling.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Berlin-Calling_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Berlin-Calling_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","",""
"Billie-Eilish","Billie Eilish/ When We All Fall ASleep Where Do We Go? 00602577427664","2","9999","9999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in the EU 2019<br /><br />0047","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Billie-Eilish.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Billie-Eilish_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Billie-Eilish_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Billie-Eilish_altpic_3.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","",""
"bonanza-joslat","Bonanza Banzai Jóslat ","2","10499","10499","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","<!HTML KOD><p>Új fóliás termék! </p>","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/bonanza-joslat.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/bonanza-joslat_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/bonanza-joslat_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/bonanza-joslat_altpic_3.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/bonanza-joslat_altpic_4.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/bonanza-joslat_altpic_5.jpg","db","0.2","Új, fóliás","Új, fóliás","Pop","LSFZ-HU033","Eu","LP","","0001"
"doktorhokashi-contrast","Doktorhokashi / Contrast 5999882870748","2","6999","6999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />0110","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/doktorhokashi-contrast.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/doktorhokashi-contrast_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/doktorhokashi-contrast_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","","0110"
"Green-Day-American-Idiot","Green Day / American Idiot 9362-48771-1","2","11499","11499","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in the EU 2004<br /><br />0044","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Green-Day-American-Idiot.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Green-Day-American-Idiot_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Green-Day-American-Idiot_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","",""
"michael-jackson-bad","Michael Jackson / Bad 888751437418","2","9999","9999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in The EU 2015<br /><br />0077","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/michael-jackson-bad.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/michael-jackson-bad_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/michael-jackson-bad_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","",""
"michael-jackson-dangerous_","Michael Jackson / Dangerous 88751209312","2","11499","11499","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in The EU 1991<br /><br />Dupla lemezes <br /><br />0075","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/michael-jackson-dangerous_.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/michael-jackson-dangerous__altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/michael-jackson-dangerous__altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","",""
"michael-jackson-thriller","Michael Jackson / Thriller 888751437319","2","7999","7999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in The EU 2015<br /><br />0076","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/michael-jackson-thriller.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/michael-jackson-thriller_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/michael-jackson-thriller_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","",""
"Nirvana","Nirvana 0602547378781","2","11499","11499","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany 2015<br /><br />0066","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Nirvana.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Nirvana_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Nirvana_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","",""
"pal-utcai-fiuk-a-bal","Pál utcai fiúk / A bál E-19","2","9999","9999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />2023<br /><br />0102","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/pal-utcai-fiuk-a-bal.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/pal-utcai-fiuk-a-bal_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/pal-utcai-fiuk-a-bal_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","","0102"
"prince-and-the-revolution","Prince and The Revolution 093624930242","2","9999","9999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany 2017<br /><br />0094","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/prince-and-the-revolution.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/prince-and-the-revolution_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/prince-and-the-revolution_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","","0094"
"santa-diver-coasts","Santa Diver / Coasts KAR LP 033","2","9999","9999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary 2022<br /><br />0109","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/santa-diver-coasts.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/santa-diver-coasts_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/santa-diver-coasts_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","","0109"
"subtones-octopus_","Subtones / Octopus TTB3450","2","14999","14999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />2020<br /><br />0108","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/subtones-octopus_.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/subtones-octopus__altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/subtones-octopus__altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","","0108"
"Taylor-Swift-Loves","Taylor Swift / Loves 00602508148453","2","13999","13999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in the EU 2019<br /><br />0042","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Taylor-Swift-Loves.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Taylor-Swift-Loves_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Taylor-Swift-Loves_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Taylor-Swift-Loves_altpic_3.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","",""
"Taylor-Swift-Midnights","Taylor Swift / Midnights 2445789825","2","9999","9999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Czech Republic 2022<br /><br />0046","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Taylor-Swift-Midnights.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Taylor-Swift-Midnights_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Taylor-Swift-Midnights_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Taylor-Swift-Midnights_altpic_3.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","",""
"Taylor-Swift-Reputation","Taylor Swift / Reputation BMRC00600F","2","11999","11999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />2017<br /><br />0043","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Taylor-Swift-Reputation.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Taylor-Swift-Reputation_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Taylor-Swift-Reputation_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Taylor-Swift-Reputation_altpic_3.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","",""
"tim-moore-behind-the-eye","Tim Moore / Behind The Eye 7E-1042","2","9999","9999","Új bakelit/vinyl lemezek és CD-k|Pop, world, OST, klasszikus és jazz ÚJ LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Printed in USA 1975<br /><br />0114","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/tim-moore-behind-the-eye.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/tim-moore-behind-the-eye_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/tim-moore-behind-the-eye_altpic_2.jpg","db","0.2","Bontatlan, gyárilag fóliázott","Bontatlan, gyárilag fóliázott ","","","","","","0114"
"100-Folk-Celsius-Country","100 Folk Celsius Country SLPX 17695","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Magyar előadók - használt lemezek|Rock and Roll, Metal, Blues magyar LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary 1982<br /><br />0007","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/100-Folk-Celsius-Country.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/100-Folk-Celsius-Country_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/100-Folk-Celsius-Country_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/100-Folk-Celsius-Country_altpic_3.jpg","db","0.2","VG","EX","","","","","",""
"modern-hungaria-sziv-zene-szerelem_","Modern Hungária / Szív, zene, szerelem SLPM 37046","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Magyar előadók - használt lemezek|Rock and Roll, Metal, Blues magyar LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary 1986<br /><br />0120","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/modern-hungaria-sziv-zene-szerelem_.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/modern-hungaria-sziv-zene-szerelem__altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/modern-hungaria-sziv-zene-szerelem__altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/modern-hungaria-sziv-zene-szerelem__altpic_3.jpg","db","0.2","VG","NM","","","","","",""
"Elvis","Elvis BTA 11492","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Magyar előadók - használt lemezek","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Bulgaria <br /><br />0002.","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Elvis.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Elvis_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Elvis_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Elvis_altpic_3.jpg","db","0.2","NM","VG","","","","","",""
"Kalmar-Pal-enekel-Ezusttukros-kavehazban","Kalmár Pál énekel / Ezüsttükrös kávèházban LPM 10221","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Magyar előadók - használt lemezek","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary 1987<br /><br />0032","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Kalmar-Pal-enekel-Ezusttukros-kavehazban.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Kalmar-Pal-enekel-Ezusttukros-kavehazban_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Kalmar-Pal-enekel-Ezusttukros-kavehazban_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Kalmar-Pal-enekel-Ezusttukros-kavehazban_altpic_3.jpg","db","0.2","VG","VG","","","","","",""
"Szineszek-enekelnek","Színészek énekelnek SLPM 16684","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Magyar előadók - használt lemezek","A lemezek àllapotàt szemre vételezéssel àllapitom meg.<br />Kérem, hogy ennek tudatában vásároljon.","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Szineszek-enekelnek.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Szineszek-enekelnek_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Szineszek-enekelnek_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Szineszek-enekelnek_altpic_3.jpg","db","0.2","NM","NM","","","","","",""
